# BUSCO version is: 5.1.3 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	k141_6884	204311	219196	-	3176.9	3137	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	k141_27079	37897	49920	+	2634.5	2492	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	k141_816	8171	14742	-	3142.6	1794	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	k141_6515	11284	17199	+	1552.2	1386	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	k141_37374	13343	21016	+	1206.4	1803	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	k141_6515	94550	102619	+	2234.0	2106	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	k141_4106	127287	134225	-	2752.2	1864	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	k141_816	31818	37070	+	661.6	1047	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	k141_36709	168782	174124	-	564.7	1199	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	k141_10348	46203	50402	-	821.7	827	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	k141_49660	121615	125778	+	1184.6	937	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	k141_33323	11820	18150	-	494.6	769	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	k141_3664	66424	73236	+	1998.0	1557	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	k141_51582	27888	36294	-	875.1	1553	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	k141_3952	65843	70768	+	776.0	983	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	k141_23325	129253	134358	+	512.3	657	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
